vendor_name,vendor_category,payment_type,payment_amount,payment_date,cheque_number,bank
GRANOPLAST,Homeware,Cheque Issued,21888.00,30-06-2025,55592,AXIS
Kurikkal Agencies,Homeware,Cheque Pending,42184.00,30-06-2025,,
Nandini Raw and Boiled Rice Mill,FMCG,Cheque Issued,31546.00,30-06-2025,56101,AXIS
Rafa Mart Vadakara,Homeware,Cheque Issued,41002.00,30-06-2025,56144,AXIS
Seena Crockry,Homeware,Cheque Pending,20554.00,30-06-2025,,
Team Thai,FMCG,Cheque Issued,38866.00,30-06-2025,56159,AXIS
Kallar Agencies,Homeware,Cheque Issued,11838.00,01-07-2025,55519,AXIS
Ojes Enterprises,Homeware,Cheque Issued,49435.00,01-07-2025,55559,AXIS
Rafa Mart Vadakara,Homeware,Cheque Issued,41002.00,01-07-2025,56145,AXIS
Rifa Traders(R),Homeware,Cheque Pending,10880.00,01-07-2025,,
Nandini Raw and Boiled Rice Mill,FMCG,Cheque Issued,31545.00,02-07-2025,56104,AXIS
Ojes Enterprises,Homeware,Bank Transfer,5775.00,02-07-2025,,
Rafa Mart Vadakara,Homeware,Cheque Issued,41002.00,02-07-2025,56146,AXIS
Sooraj Associates (R),Homeware,Cheque Pending,36485.00,02-07-2025,,
Kasco Marketing,Homeware,Cheque Pending,44335.00,03-07-2025,,
Nandini Raw and Boiled Rice Mill,FMCG,Cheque Issued,31545.00,03-07-2025,56103,AXIS
Rafa Mart Vadakara,Homeware,Cheque Issued,41002.00,03-07-2025,56147,AXIS
Nandini Raw and Boiled Rice Mill,FMCG,Cheque Issued,31545.00,04-07-2025,56102,AXIS
Rafa Mart Vadakara,Homeware,Cheque Issued,43600.00,04-07-2025,56148,AXIS
Rafa Mart Vadakara,Homeware,Cheque Issued,43600.00,05-07-2025,56149,AXIS
Team Thai,FMCG,Cheque Issued,38866.00,05-07-2025,56157,AXIS
SRI RADHA KRISHNA RICE INDUSTRY,FMCG,Cheque Issued,38395.00,14-07-2025,56175,AXIS
SRI RADHA KRISHNA RICE INDUSTRY,FMCG,Cheque Issued,38395.00,15-07-2025,56176,AXIS
SRI RADHA KRISHNA RICE INDUSTRY,FMCG,Cheque Issued,38395.00,16-07-2025,56177,AXIS
